Simulation ID,P-Value,KS-Statistic,,P-Values,,
669,1.90068E-36,0.288,1,,,
670,1.86914E-45,0.322,1,,,
671,9.80666E-46,0.323,1,,,
672,1.96138E-47,0.329,1,,,
673,1.24907E-50,0.34,1,,,
674,1.01875E-52,0.347,1,,,
675,6.82588E-42,0.309,1,,,
676,1.01875E-52,0.347,1,,,
677,2.41788E-44,0.318,1,,,
678,1.06038E-35,0.285,1,,,
679,4.8472E-50,0.338,1,,,
680,1.96138E-47,0.329,1,,,
681,9.80666E-46,0.323,1,,,
682,7.95767E-41,0.305,1,,,
683,3.78349E-47,0.328,1,,,
684,8.9255E-56,0.357,1,,,
685,2.41788E-44,0.318,1,,,
686,3.02922E-43,0.314,1,,,
687,5.13491E-46,0.324,1,,,
688,2.41788E-44,0.318,1,,,
689,2.33997E-41,0.307,1,,,
690,4.06564E-52,0.345,1,,,
691,1.01475E-47,0.33,1,,,
692,4.91627E-40,0.302,1,,,
693,5.0843E-53,0.348,1,,,
694,3.67562E-42,0.31,1,,,
695,6.74955E-45,0.32,1,,,
696,2.69995E-48,0.332,1,,,
697,1.82522E-30,0.263,1,,,
698,4.8472E-50,0.338,1,,,
699,5.67066E-43,0.313,1,,,
700,6.82588E-42,0.309,1,,,
701,1.39943E-46,0.326,1,,,
702,1.39943E-46,0.326,1,,,
703,1.01475E-47,0.33,1,,,
704,1.9753E-42,0.311,1,,,
705,1.6096E-51,0.343,1,,,
706,1.2588E-53,0.35,1,,,
707,3.02922E-43,0.314,1,,,
708,5.67066E-43,0.313,1,,,
709,4.31948E-41,0.306,1,,,
710,1.38851E-48,0.333,1,,,
711,1.27876E-44,0.319,1,,,
712,5.13491E-46,0.324,1,,,
713,3.37775E-36,0.287,1,,,
714,8.59251E-44,0.316,1,,,
715,2.76788E-58,0.365,1,,,
716,1.61495E-43,0.315,1,,,
717,3.19308E-51,0.342,1,,,
718,1.26508E-41,0.308,1,,,
719,3.06997E-59,0.368,1,,,
720,1.86604E-49,0.336,1,,,
721,1.06738E-36,0.289,1,,,
722,9.82535E-39,0.297,1,,,
723,3.55543E-45,0.321,1,,,
724,4.56259E-44,0.317,1,,,
725,2.451E-57,0.362,1,,,
